Device Name,Pattern
HP Indigo S2000 Press,\b(?:HP\s*)?(?:Indigo\s*)?S2000(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP PageWide Web Press T11xx,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T11xx(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T2xx,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T2xx(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T3xx,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T3xx(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T4xx,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T4xx(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T200,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T200(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T230,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T230(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T235,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T235(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T240 HD,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T240(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T260M,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T260M(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T260ML,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T260ML(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T300,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T300(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T300M,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T300M(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T350,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T350(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T350M,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T350M(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T360,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T360(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T360M,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T360M(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T400,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T400(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T400M,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T400M(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T400S,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T400S(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T410,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T410(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T410M,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T410M(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T470 HD,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T470(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T480 HD,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T480(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T490 HD,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T490(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T490M HD,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T490M(?:s)?(?:\s*HD)?\b
