,catalog_number,products
293,CA494-22070,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
294,CA494-22080,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
295,CA494-22100,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
296,CA494-22110,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
297,CA494-22120,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
298,CA494-22040,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
299,CA494-22050,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
300,CA494-22060,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
301,TS5OM-00007,['HP Indigo 200K Digital Press']
302,CN-2657,"['HP Indigo 7r Digital Press', 'HP Indigo 6900 Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6r Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 7600 Digital Press', 'HP Indigo 6P Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 8K Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo W7250 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo W7200 Digital Press', 'HP Indigo 7900 Digital Press']"
303,TS4OM-00004,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 20000 Series Digital Presses']"
304,CA394-10400,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7600 Digital Press']"
305,CA394-10410,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7600 Digital Press']"
306,CA394-10420,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7600 Digital Press']"
307,CA394-10430,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7600 Digital Press']"
308,CA394-10440,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7600 Digital Press']"
309,CA394-10450,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7600 Digital Press']"
310,CA394-14650,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7600 Digital Press']"
311,CA394-17780,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7600 Digital Press']"
312,TS4OM-00009,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 10000 Digital Press']"
313,TS6OM-00004,"['HP Indigo 120K Digital Press', 'HP Indigo V12 Digital Press']"
314,TS6OM-00002,['HP Indigo V12 Digital Press']
315,TS5ES-00030,['HP Indigo 100K Digital Press']
316,TS3ES-00010,"['7000 ', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7900 Digital Press', '7eco', 'HP Indigo 7K Digital Press', '6000 ', '6600 ', '6800 ', 'HP Indigo 6r Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6900 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press', 'HP Indigo W7250 Digital Press']"
317,TS4ES-00020,['HP Indigo 30000 Digital Press']
318,TN-2595,['HP Indigo 20000 Digital Press']
319,CA464-00640,['200K ']
320,CA554-01122,['200K ']
321,CN-2601,['HP Indigo 100K Digital Press']
322,TN-2594,"['HP Indigo 10000 Digital Press', '10r', 'HP Indigo 12000 Digital Press', '12000 HD', 'HP Indigo 15K Digital Press', '15K HD', 'HP Indigo 20000 Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 50000 Digital Press']"
323,TN-2603,['HP Indigo 100K Digital Press']
324,CN-2591,"['7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7900 Digital Press', '7eco', 'HP Indigo 7K Digital Press']"
325,TN-2612,['HP Indigo 6K Digital Press']
326,TS3ES-00013,"['6000 ', '6600 ', '6800 ', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press']"
327,TN-2616,"['7000 ', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7900 Digital Press', '7eco', 'HP Indigo 7K Digital Press', '6000 ', '6600 ', '6800 ', 'HP Indigo 6r Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6900 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press', 'HP Indigo W7250 Digital Press']"
328,TN-2619,['35K ']
329,TN-2623,"['2623', '7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press', '6000 ', '6600 ', '6800 ', 'HP Indigo 6r Digital Press', 'HP Indigo 6K Digital Press', '7000 ', '6000 ']"
330,TN-2621,"['HP Indigo 10000 Digital Press', '10000 HD', '10r', 'HP Indigo 12000 Digital Press', '12000 HD', 'HP Indigo 15K Digital Press', '15K HD', 'HP Indigo 35K Digital Press']"
331,TN-2570,"['6800 ', 'HP Indigo 6900 Digital Press']"
332,xR-0092,['100K']
333,TN-2647,['HP Indigo V12 Digital Press']
334,TN-2640,"['HP Indigo 100K Digital Press', 'HP Indigo 100K Digital Press', '100K HD']"
335,TN-2674,"['HP Indigo 10000 Digital Press', '10000 HD', '10r', 'HP Indigo 12000 Digital Press', '12000 HD', 'HP Indigo 15K Digital Press', '15K HD', 'HP Indigo 20000 Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 50000 Digital Press', '7000 ', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7900 Digital Press', '7eco', 'HP Indigo 7K Digital Press', '6000 ', '6600 ', '6800 ', 'HP Indigo 6r Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6900 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press', 'HP Indigo W7200 Digital Press', 'HP Indigo W7250 Digital Press', 'HP Indigo 3600 Digital Press', 'HP Indigo 5r Digital Press', 'HP Indigo 5500 Digital Press', '5500r']"
336,CN-2674,"['HP Indigo 10000 Digital Press', '10000 HD', '10r', 'HP Indigo 12000 Digital Press', '12000 HD', 'HP Indigo 15K Digital Press', '15K HD', 'HP Indigo 20000 Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 50000 Digital Press', '7000 ', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7900 Digital Press', '7eco', 'HP Indigo 7K Digital Press', '6000 ', '6600 ', '6800 ', 'HP Indigo 6r Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6900 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press', 'HP Indigo W7200 Digital Press', 'HP Indigo W7250 Digital Press', 'HP Indigo 3600 Digital Press', 'HP Indigo 5r Digital Press', 'HP Indigo 5500 Digital Press', '5500r']"
337,TS5OM-00013,['120K ']
338,TS4OM-00015,['18K ']
339,TN-2398,"['HP Indigo 30000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo ws6000 Digital Press', 'HP Indigo ws6600 Digital Press', 'HP Indigo ws6800 Digital Press', 'ws6900']"
340,TN-2300,"['HP Indigo WS6800 Digital Press', 'HP Indigo WS6600 Digital Press', 'WS6900', 'HP Indigo 8000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 30000 Digital Press']"
341,TN-2213,"['HP Indigo WS6800 Digital Press', 'HP Indigo WS6600 Digital Press', 'WS6900']"
342,TN-1826,"['HP Indigo 10000 Digital Press', 'HP Indigo 7800 Digital Press']"
343,TS5ES-00059,"['200K ', 'HP Indigo 100K Digital Press', 'HP Indigo 10000 Digital Press', '10000 HD', '10r', 'HP Indigo 12000 Digital Press', '12000 HD', 'HP Indigo 15K Digital Press', '15K HD', 'HP Indigo 20000 Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 50000 Digital Press', '7000 ', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7900 Digital Press', '7eco', 'HP Indigo 7K Digital Press', '6000 ', '6600 ', '6800 ', 'HP Indigo 6r Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6900 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press', 'HP Indigo W7250 Digital Press', '3500', 'HP Indigo 3550 Digital Press', 'HP Indigo 3600 Digital Press', '5000', '5500', 'HP Indigo 5600 Digital Press', 'HP Indigo 5r Digital Press', 'HP Indigo 5900 Digital Press', 'ws4500', 'HP Indigo WS4600 Digital Press', '1050', 'ws2000']"
344,CA293-04190,['HP Indigo 5500 Digital Press']
345,CA293-07470,['HP Indigo 5600 Digital Press']
346,CA394-24410,['HP Indigo 5900 Digital Press']
347,CA393-00880,['HP Indigo WS6000 Digital Press']
348,CA393-02290,['HP Indigo WS6000 Digital Press']
349,CA393-05140,['HP Indigo WS6600 Digital Press']
350,CA494-32850,"['HP Indigo 10000 Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100K Digital Press']"
351,CA494-32870,"['HP Indigo 10000 Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100K Digital Press']"
352,CA494-32860,"['HP Indigo 10000 Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100K Digital Press']"
353,CA494-32880,"['HP Indigo 10000 Digital Press', '000 ', 'HP Indigo 15K Digital Press', 'HP Indigo 100K Digital Press']"
354,CA494-32840,"['HP Indigo 10000 Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100K Digital Press']"
355,CA494-32810,"['HP Indigo 10000 Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100K Digital Press']"
356,CA494-32830,"['HP Indigo 10000 Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100K Digital Press']"
357,CA494-32890,"['HP Indigo 10000 Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100K Digital Press']"
358,CA494-32820,"['HP Indigo 10000 Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100K Digital Press']"
359,CA394-28950,"['7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press']"
360,CA394-28970,"['7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press']"
361,CA394-28990,"['7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press']"
362,CA394-29010,"['7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press']"
363,CA394-29020,"['7000', '7500', '7600', '7800', '7900', '7r', '7K']"
364,CA394-29030,"['7000', '7500', '7600', '7800', '7900', '7r', '7K']"
365,CA394-26400,['HP Indigo 5900 Digital Press']
366,CA494-31000,"['HP Indigo 20000 Digital Press', 'HP Indigo 20000 Digital Press']"
367,CA494-30940,['HP Indigo 20000 Digital Press']
368,CA494-30980,['HP Indigo 20000 Digital Press']
369,CA494-30990,['HP Indigo 20000 Digital Press']
370,CA494-30970,['HP Indigo 20000 Digital Press']
371,CA394-05352,"['6000', '8000']"
372,CA394-05382,"['6000 ', 'HP Indigo 8000 Digital Press']"
373,CA394-05372,"['6000 ', '8000 ']"
374,CA394-05392,"['6000 ', '8000 ']"
375,CA394-14391,"['6000', '8000']"
376,CA394-05342,"['6000', '8000']"
377,CA394-05332,"['6000 ', '8000 ']"
378,CA394-14381,"['6000', '8000']"
379,CA394-29900,"['7600', '7800', '7900', '7K', '7eco']"
380,CA394-29890,"['7600', '7800', '7900', '7K', '7eco']"
381,CA394-29910,"['7600', '7800', '7900', '7K']"
382,CA394-29920,"['7600', '800', '7900', '7K', '7eco']"
383,CA394-29930,"['7600', '7800', '7900', '7K', '7eco']"
384,CA394-29940,"['7600', '7800', '7900', '7K', '7eco']"
385,CA394-29960,"['29960', '29960', '7600', '7800', '7900', '7K', '7eco']"
386,CA394-29950,"['7600', '7800', '7900', '7K', '7eco']"
387,CA394-30100,['7000 ']
388,CA394-30130,"['7000 ', '2021', '7000']"
389,CA394-30140,['7000']
390,CA394-30150,['7000']
391,CA394-30170,['7000 ']
392,CA394-29270,"['6600', '6800', '6r', '6900', '6K ']"
393,CA394-29280,"['WS6600', 'WS6800', '6r', '6900 ']"
394,CA394-29290,"['6600', '6800', '6r', '6900', '6K ']"
395,CA394-29300,"['6600', '6800', '6r', '6900', '6K']"
396,CA394-29310,"['6600', '6800', '6r', '6900', '6K ']"
397,CA394-29320,"['6600', '6800', '6r', '6900', 'HP Indigo 6K Digital Press']"
398,CA394-29330,"['WS6600', 'WS6800', '6r', '6900 ']"
399,CA394-29340,"['6600', '6800', '6r', '6900', '6K ']"
400,CA394-29350,"['WS6600', 'WS6800', '6r', '6900 ']"
401,PPC-000010,"['10000', '10r', '12000', '12000HD', '15K', '15KHD', '30000']"
402,PPC-000020,"['10000', '10r', '12000', '12000HD', '15K', '15KHD', '30000']"
403,PPC-000030,"['10000', '10r', '12000', '12000HD', '15K', '30000']"
404,PPC-000040,"['10000', '10r', '12000', '12000HD', '15K', '30000']"
405,PPC-000050,"['10000', '10R', '12000', '12000HD', '15K', '15KHD', '30000']"
406,PPC-000060,"['30000', '35K']"
407,PPC-000070,"['30000', '35K']"
408,PPC-000080,"['00008', '30000', '35K']"
409,PPC-000090,"['100K', '15K', '12000', '12000HD', '10r']"
410,PPC-000100,['100K']
411,PPC-000110,['100K']
412,PPC-000120,['100K']
413,PPC-000130,['100K']
414,PPC-000140,['100K']
415,PPC-000150,['100K']
416,PPC-000160,['100K']
417,PPC-000170,"['00017', '10000', '10r', '12K', '12000HD', '15K', '30000', '35K', '100K']"
418,PPC-000230,"['6000', '6600', '6800', '6900', '6K']"
419,PPC-000240,"['6000', '6600', '6800', '6900', '6K']"
420,PPC-000250,"['6000', '6600', '6800', '6900', '6K']"
421,PPC-000260,"['6000', '6600', '6800', '6900', '6K']"
422,PPC-000270,"['6000', '6600', '6800', '6900', '6K']"
423,PPC-000280,"['6000', '6600', '6800', '6900', '6K']"
424,PPC-000300,"['6000', '6600', '6800', '6900', '6K ']"
425,PPC-000310,"['6000', '6600', '6800', '6900', '6K ']"
426,PPC-000320,"['6000', '6600', '6800', '6900', '6K ']"
427,PPC-000330,"['6000', '6600', '6800', '6900', '6K']"
428,CA594-00150,['HP Indigo 100K Digital Press']
429,CA394-10141,['7000 ']
430,CA394-10151,['7000 ']
431,CA394-10181,['7000']
432,CA394-10171,['7000']
433,CA394-10131,['7000']
434,CA394-10111,['7000']
435,CA394-23140,['7000 ']
436,CA394-23160,['7000']
437,CA394-07623,"['7000', '6000', '8000']"
438,CA394-07593,"['7000 ', '6000 ', '8000 ']"
439,CA394-07653,"['7000 ', '6000 ', '8000 ']"
440,CA394-07633,"['7000 ', '6000 ', '8000 ']"
441,CA394-07603,"['7000', '6000', '8000']"
442,CA394-07673,"['7000', '6000', '8000']"
443,CA394-07613,"['7000', '6000', '8000']"
444,CA394-07643,"['7000 ', '6000 ', 'HP Indigo 8000 Digital Press', 'HP Indigo W7200 Digital Press']"
445,CA394-07663,"['7000', '6000', '8000']"
446,CA494-09480,"['20k', '25k']"
447,CA494-09500,"['20k', '25k']"
448,CA494-09550,"['HP Indigo 20000 Digital Press', 'HP Indigo 25K Digital Press']"
449,CA494-09470,"['20000', '25K ']"
450,CA494-21340,"['15K HD', '15K', '12000']"
451,CA494-21270,"['15K HD', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', '21270']"
452,CA494-21330,"['12000', '15K ']"
453,CA494-21320,"['15K HD', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press']"
454,CA494-00352,"['HP Indigo 10000 Digital Press', 'HP Indigo 10000 Digital Press']"
455,CA494-00372,['10000 ']
456,CA494-00312,['HP Indigo 10000 Digital Press']
457,CA494-21290,"['15K HD', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press']"
458,CA394-27090,"['HP Indigo 6K Digital Press', 'HP Indigo 6900 Digital Press', '6800 ']"
459,CA394-27130,"['HP Indigo 6K Digital Press', 'HP Indigo 6900 Digital Press', '6800 ']"
460,CA394-27080,"['HP Indigo 6K Digital Press', 'HP Indigo 6900 Digital Press', '6800 ']"
461,CA394-27060,"['HP Indigo 6K Digital Press', 'HP Indigo 6900 Digital Press', '6800 ']"
462,CA394-27110,"['HP Indigo 6K Digital Press', 'HP Indigo 6900 Digital Press', '6800 ']"
463,CA394-27120,"['HP Indigo 6K Digital Press', 'HP Indigo 6900 Digital Press', '6800 ']"
464,CA394-27050,"['HP Indigo 6K Digital Press', 'HP Indigo 6900 Digital Press', '6800 ']"
465,CA394-28270,"['7000 ', '7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press', '7eco']"
466,CA394-28280,"['7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press', '7eco']"
467,CA394-28290,"['7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press', '7eco']"
468,CA394-28300,"['7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press', '7eco']"
469,CA394-28350,"['7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press', '7eco']"
470,CA394-28310,"['7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press', '7eco']"
471,CA394-28320,"['7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press', '7eco']"
472,CA394-28330,"['7000 ', '7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press', '7eco']"
473,CA394-28340,"['7000 ', '7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press', '7eco']"
474,CA494-24810,"['10000', '100K']"
475,CA494-24760,"['10000', '100K ']"
476,CA494-24770,"['10000 ', '100K ']"
477,CA494-24800,"['10000', 'HP Indigo 100K Digital Press']"
478,CA494-24730,"['10000 ', 'HP Indigo 100K Digital Press', '10000 ', 'HP Indigo 100K Digital Press']"
479,CA494-24790,"['10000 ', 'HP Indigo 100K Digital Press']"
480,CA494-24780,"['HP Indigo 10000 Digital Press', 'HP Indigo 100K Digital Press']"
481,CA394-28750,"['8000', '7000', '6000', '5900']"
482,CA394-28710,"['8000', '7000', '6000']"
483,CA394-28620,"['8000', '7000', '6000', '5900']"
484,CA394-28630,"['HP Indigo 8000 Digital Press', 'HP Indigo W7200 Digital Press', '7000 ', '6000 ', 'HP Indigo 5900 Digital Press']"
485,CA394-28660,"['8000', '7000', '6000', 'HP Indigo 5900 Digital Press']"
486,CA394-28640,"['8000', '7000', '6000', '5900']"
487,CA394-28700,"['8000', '7000', '6000', '5900']"
488,CA394-28690,"['8000 ', '7000 ', '6000 ', '5900 ']"
489,CA394-28670,"['8000', '7000', '6000', 'HP Indigo 5900 Digital Press']"
490,CA394-28680,"['HP Indigo 8000 Digital Press', 'HP Indigo W7200 Digital Press', '7000 ', '6000 ', 'HP Indigo 5900 Digital Press']"
491,CA394-28730,"['8000', '7000', '6000', 'HP Indigo 5900 Digital Press']"
492,CA394-28650,"['HP Indigo 8000 Digital Press', 'HP Indigo W7200 Digital Press', '7000 ', '6000 ', 'HP Indigo 5900 Digital Press']"
493,CA394-28810,"['8000', '7000', '6000', 'HP Indigo 5900 Digital Press']"
494,CA394-28610,"['8000 ', '7000 ', '6000 ', '5900 ']"
495,CA394-28780,"['8000', '7000', '6000', 'HP Indigo 5900 Digital Press']"
496,CA394-25910,"['HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press', '2024']"
497,CA394-25930,"['HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press']"
498,CA394-25900,"['HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press', '2024']"
499,CA394-25980,"['HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press', '2024']"
500,CA394-25920,"['7500 ', '7600 ', '7800 ', '7900 ', '7K ']"
501,CA394-25960,"['HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press']"
502,CA394-25970,['7000']
503,CA394-25940,"['HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press']"
504,CA394-25950,"['HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7K Digital Press']"
505,CA394-28410,"['6600 ', '6800 ', 'HP Indigo 6900 Digital Press']"
506,CA394-28420,"['6600 ', '6800 ', 'HP Indigo 6900 Digital Press']"
